band,day,stage,genre,location,must_see,metal_archives,notes
Chaotian,"Sunday May 24, 2026",Market Place/Power Plant Live,Death Metal,Denmark,3,https://www.metal-archives.com/bands/Chaotian/3540441069,
Batushka,"Sunday May 24, 2026",Nevermore Hall,Black Metal,Poland,0,https://www.metal-archives.com/bands/%D0%91%D0%B0%D1%82%D1%8E%D1%88%D0%BA%D0%B0/3540404077,
...And Oceans,"Sunday May 24, 2026",Nevermore Hall,Symphonic Black Metal,Finland,1,https://www.metal-archives.com/bands/...and_Oceans/231,
StarGazer,"Sunday May 24, 2026",Nevermore Hall,Avant-Garde Black/Death,Australia,1,https://www.metal-archives.com/bands/StarGazer/2942,
Wrathprayer,"Sunday May 24, 2026",Nevermore Hall,Black/Death,Chile,2,https://www.metal-archives.com/bands/Wrathprayer/3540281226,
Antichrist Siege Machine,"Sunday May 24, 2026",Nevermore Hall,Black/Death,United States,2,https://www.metal-archives.com/bands/Antichrist_Siege_Machine/3540426608,
Aberration,"Sunday May 24, 2026",Nevermore Hall,Black/Death,United States,2,https://www.metal-archives.com/bands/Aberration/3540480783,
Cephalic Carnage Old school set - First 3 albums,"Sunday May 24, 2026",Soundstage,Technical Grindcore/Death,United States,2,https://www.metal-archives.com/bands/Cephalic_Carnage/910,
Sex Prisoner,"Sunday May 24, 2026",Soundstage,,,,,
Houkago Grind Time,"Sunday May 24, 2026",Soundstage,Goregrind,United States,1,https://www.metal-archives.com/bands/Houkago_Grind_Time/3540457667,weeb time
Slimelord,"Sunday May 24, 2026",Soundstage,Death/Doom,United Kingdom,2,https://www.metal-archives.com/bands/Slimelord/3540454713,
!T.O.O.H.!,"Sunday May 24, 2026",Soundstage,Progressive Death/Grindcore,Czechia,2,https://www.metal-archives.com/bands/%21T.O.O.H.%21/16265,
Aftermath,"Sunday May 24, 2026",Soundstage,,,,,
Excrescence,"Sunday May 24, 2026",Soundstage,Brutal Death Metal,United States,3,https://www.metal-archives.com/bands/Excrescence/3540470539,
Hemorrhoid,"Sunday May 24, 2026",Soundstage,United States,Death/Grindcore,2,https://www.metal-archives.com/bands/Hemorrhoid/3540519094,
Tómarúm,"Sunday May 24, 2026",Angels Rock Bar,Progressive Black Metal,United States,1,https://www.metal-archives.com/bands/T%C3%B3mar%C3%BAm/3540449681,new band check it out
Gudsforladt,"Sunday May 24, 2026",Angels Rock Bar,Black Metal,United States,1,https://www.metal-archives.com/bands/Gudsforladt/3540407963,new band check it out
Cemetery Moon,"Sunday May 24, 2026",Angels Rock Bar,Black Metal,United States,1,https://www.metal-archives.com/bands/Cemetery_Moon/3540524448,new band check it out
