band,day,stage,genre,location,time,must_see,metal_archives,notes
Hemorrhoid,"Sunday May 24, 2026",Soundstage,Death/Grindcore,United States,04:15-04:50,2,https://www.metal-archives.com/bands/Hemorrhoid/3540519094,
Cancer Death Shall Rise,"Sunday May 24, 2026",Market Place,Death/Thrash,United Kingdom,04:40-05:30,3,https://www.metal-archives.com/bands/Cancer/695,
Unmerciful,"Sunday May 24, 2026",Power Plant Live,Brutal Death Metal,United States,05:35-06:15,3,https://www.metal-archives.com/bands/Unmerciful/18384,
Wrathprayer,"Sunday May 24, 2026",Nevermore Hall,Black/Death,Chile,05:35-06:15,2,https://www.metal-archives.com/bands/Wrathprayer/3540281226,"Blackened Death, pretty good"
Excrescence,"Sunday May 24, 2026",Soundstage,Brutal Death Metal,United States,05:40-06:15,2,https://www.metal-archives.com/bands/Excrescence/3540470539,PING PING PING PING 🤮
Death Angel Act III,"Sunday May 24, 2026",Market Place,Thrash ,United States,06:15-07:05,0,https://www.metal-archives.com/bands/Death_Angel/179,Will fucking Carroll
Blood Red Throne,"Sunday May 24, 2026",Power Plant Live,Death Metal,Norway,07:05-07:50,2,https://www.metal-archives.com/bands/Blood_Red_Throne/808,"Probably worth seeing if no conflicts, riffs riffs riffs."
Woe,"Sunday May 24, 2026",Nevermore Hall,,,07:05-07:50,,,
Aftermath,"Sunday May 24, 2026",Soundstage,,,07:15-07:50,,,Couldn't find information at the time
Grave Old School Grave & Corpse,"Sunday May 24, 2026",Market Place,Death Metal,Sweden,07:55-08:45,3,https://www.metal-archives.com/bands/Grave/1020,
Houkago Grind Time,"Sunday May 24, 2026",Soundstage,Goregrind,United States,08:40-09:25,1,https://www.metal-archives.com/bands/Houkago_Grind_Time/3540457667,weeb time
Vio-lence,"Sunday May 24, 2026",Power Plant Live,,,08:50-09:40,,,
Antichrist Siege Machine,"Sunday May 24, 2026",Nevermore Hall,Black/Death,United States,08:50-09:35,2,https://www.metal-archives.com/bands/Antichrist_Siege_Machine/3540426608,
Tómarúm,"Sunday May 24, 2026",Angels Rock Bar,Progressive Black Metal,United States,09:20-09:50,1,https://www.metal-archives.com/bands/T%C3%B3mar%C3%BAm/3540449681,new band check it out
"Sarcófago performed by Gerald ""Incubus"" Minelli & the Laws","Sunday May 24, 2026",Market Place,Black/Thrash/Death,Brazil,09:45-10:45,1,https://www.metal-archives.com/bands/Sarc%C3%B3fago/2061,
Sex Prisoner,"Sunday May 24, 2026",Soundstage,,,10:35-11:10,,,
...And Oceans,"Sunday May 24, 2026",Nevermore Hall,Symphonic Black Metal,Finland,10:50-11:40,1,https://www.metal-archives.com/bands/...and_Oceans/231,
Gudsforladt,"Sunday May 24, 2026",Angels Rock Bar,Black Metal,United States,10:50-11:20,1,https://www.metal-archives.com/bands/Gudsforladt/3540407963,"new band check it out, RAW black metal"
Dying Fetus Old school set - First 3 Albums,"Sunday May 24, 2026",Power Plant Live,Brutal Death/Grindcore,United States,11:10-12:00,2,https://www.metal-archives.com/bands/Dying_Fetus/45,
!T.O.O.H.!,"Sunday May 24, 2026",Soundstage,Progressive Death/Grindcore,Czechia,11:35-12:20,2,https://www.metal-archives.com/bands/%21T.O.O.H.%21/16265,
Cemetery Moon,"Sunday May 24, 2026",Angels Rock Bar,Black Metal,United States,11:45-12:20,1,https://www.metal-archives.com/bands/Cemetery_Moon/3540524448,new band check it out
Batushka,"Sunday May 24, 2026",Nevermore Hall,Black Metal,Poland,12:20-01:20,0,https://www.metal-archives.com/bands/%D0%91%D0%B0%D1%82%D1%8E%D1%88%D0%BA%D0%B0/3540404077,WHICH GOD DAMN BATUSHKA WHY DID THEY DO THIS TO US
Cephalic Carnage Old school set - First 3 albums,"Sunday May 24, 2026",Soundstage,Technical Grindcore/Death,United States,12:45-01:30,2,https://www.metal-archives.com/bands/Cephalic_Carnage/910,
